194,Richard Harris,29.349
26473,Fisher Stevens,29.312
593,Joanna Cassidy,29.298
10993,Tom Felton,29.271
4135,Robert Redford,29.262
17402,Ron Livingston,29.229
10822,Stephen Dorff,29.215
2393,Marina Sirtis,29.209
58737,Jack McBrayer,29.203
53923,Aunjanue Ellis-Taylor,29.184
40900,Mark Rylance,29.163
14261,David Niven,29.143
63522,Sofía Vergara,29.125
24362,Kevin Michael Richardson,29.104
2109,Kim Cattrall,29.102
3292,Nicholas Hoult,29.054
2230,Pam Grier,29.052
2956,Amanda Peet,29.03
38405,John Corbett,28.988
15336,Dougray Scott,28.95
58168,Rachelle Lefevre,28.94
6066,Dash Mihok,28.87
21042,Ebon Moss-Bachrach,28.846
40481,Luis Guzmán,28.781
10169,Telly Savalas,28.77
16501,Milo Ventimiglia,28.748
16743,Arnold Vosloo,28.745
1039,Peter Boyle,28.734
12248,Alec Guinness,28.711
2155,Thora Birch,28.691
4687,Patricia Arquette,28.648
5915,Jaime King,28.639
20899,Peter Riegert,28.622
56731,Jessica Alba,28.616
15009,Justin Theroux,28.596
2038,Naomie Harris,28.573
2441,Tom Hollander,28.566
57829,Anthony LaPaglia,28.531
7026,Rhys Ifans,28.512
9013,Kevin McKidd,28.511
1733,Nick Nolte,28.463
4726,Marcia Gay Harden,28.449
21127,Bobby Cannavale,28.418
89599,Eric Bauza,28.41
1064,Crispin Glover,28.401
1533,Andie MacDowell,28.358
12312,Richard Anderson,28.316
27136,Katharine Isabelle,28.265
7301,Anthony Perkins,28.261
23931,Mira Sorvino,28.238
2879,Rob Lowe,28.214
22227,Christopher Meloni,28.182
12110,Amy Sedaris,28.175
6200,Diane Venora,28.148
10478,Jeanne Tripplehorn,28.141
10825,Donal Logue,28.137
53122,Fran Drescher,28.115
7090,Kelsey Grammer,28.022
56152,Kari Wuhrer,27.936
8874,Ernie Hudson,27.875
21624,Judd Nelson,27.866
12139,Lolita Davidovich,27.807
5503,Gabrielle Anwar,27.801
8252,William Holden,27.78
37260,Abbie Cornish,27.78
39658,Sally Hawkins,27.773
18686,Holly Hunter,27.767
99,Amanda Plummer,27.738
14730,Angela Lansbury,27.707
33192,Joel Edgerton,27.707
502,Miranda Otto,27.691
17064,Ben Whishaw,27.637
3897,Katie Holmes,27.63
129101,Lance Reddick,27.603
19974,Greg Germann,27.581
